Attempts,IP_Change,Request_Frequency,User_Agent_Diversity,Key_Length,Error_Code_Frequency,Attack
12,0,1.13,9,128,0,0
7,0,4.6,3,128,2,0
12,1,8.08,2,256,4,1
10,0,0.05,3,256,2,0
8,0,2.75,1,1024,2,0
9,0,3.9,5,128,1,0
9,1,4.12,2,512,5,1
7,0,4.04,7,512,2,0
10,1,17.64,3,256,2,1
11,0,7.32,8,1024,1,0
12,1,5.73,9,256,3,0
12,0,4.11,7,256,1,0
9,1,3.73,9,512,9,1
8,1,9.84,2,512,2,1
5,0,1.03,9,128,2,0
9,0,0.32,4,128,2,0
9,0,0.03,7,1024,2,0
9,0,3.55,9,1024,2,0
16,1,1.49,7,128,3,1
11,0,0.09,5,128,0,0
8,0,9.59,6,256,1,0
14,0,0.52,2,512,0,0
10,0,5.06,5,1024,1,0
6,0,12.18,1,512,4,0
11,1,0.82,1,512,2,1
8,0,4.4,1,256,0,0
9,0,1.93,3,128,1,0
14,1,6.96,3,1024,3,1
12,1,15.37,4,1024,1,1
11,0,0.9,2,1024,3,0
14,0,11.07,8,512,1,0
13,0,2.46,1,1024,5,0
7,0,7.06,6,256,2,0
11,1,3.1,8,512,1,0
10,1,0.31,4,128,3,1
6,1,0.93,5,256,0,0
8,1,0.7,4,128,3,1
10,0,0.82,9,256,3,0
9,1,10.55,6,128,1,1
8,0,9.1,7,512,1,0
9,1,0.43,3,512,1,0
11,1,3.99,9,512,0,0
6,0,0.45,9,1024,2,0
7,0,2.84,3,512,0,0
10,0,3.38,3,1024,1,0
5,1,8.94,6,512,0,1
8,0,3.07,8,256,4,0
14,0,0.58,8,1024,2,0
14,0,6.29,1,256,1,0
8,0,6.1,8,512,0,0
8,0,1.25,7,128,6,0
11,0,4.5,2,256,1,0
15,0,1.35,1,128,2,0
8,0,4.03,1,256,2,0
7,0,9.59,3,256,0,0
13,1,12.56,9,256,2,1
12,1,13.23,1,512,4,1
9,0,0.37,9,128,3,0
9,1,1.56,9,256,2,0
5,0,0.04,5,256,1,0
16,0,0.16,4,256,1,0
10,1,5.22,6,256,2,1
12,0,10.38,1,1024,1,0
8,0,2.8,1,256,2,0
12,0,3.24,2,128,3,0
12,1,0.57,9,128,2,0
9,1,18.53,5,512,2,1
11,1,8.73,4,512,1,1
11,0,4.89,1,512,3,0
12,1,9.02,9,256,0,1
13,0,0.88,9,256,4,0
15,1,6.5,4,256,1,1
5,0,13.56,6,1024,0,0
9,0,2.16,1,512,2,0
11,1,3.35,6,1024,3,1
7,1,4.65,8,256,0,0
10,0,1.35,2,1024,2,0
16,0,4.5,2,512,1,0
7,0,4.4,5,256,2,0
9,0,3.05,8,256,1,0
10,0,0.53,5,128,2,0
10,0,10.36,7,512,1,0
13,0,0.5,1,256,2,0
12,0,5.74,9,128,1,0
13,1,4.68,4,1024,0,0
9,0,3.53,2,512,6,0
9,1,15.9,8,128,1,1
7,1,4.15,7,512,3,0
14,0,5.47,1,512,2,0
15,0,7.93,4,256,2,0
10,0,11.92,5,512,4,0
8,1,8.9,3,512,4,1
7,0,9.03,4,1024,2,0
15,1,0.73,1,128,4,1
10,0,1.47,3,128,0,0
5,0,13.85,3,512,1,0
18,0,0.2,5,128,0,0
7,0,2.56,2,512,3,0
12,1,1.42,8,128,2,1
11,1,1.16,4,256,2,0
10,0,0.17,2,512,1,0
9,0,0.36,5,512,1,0
5,0,8.69,5,128,5,1
8,0,1.94,4,128,2,0
8,0,10.13,4,1024,0,0
10,0,7.31,4,256,2,1
11,1,2.45,5,1024,2,0
11,0,0.37,3,512,1,0
15,0,16.1,3,128,1,0
6,0,4.67,1,512,2,0
9,0,1.91,4,256,2,0
9,0,3.22,1,512,2,0
6,0,3.25,5,1024,6,0
9,0,1.67,5,1024,2,0
11,1,0.28,6,256,3,1
11,1,0.38,9,128,2,1
8,0,5.61,4,1024,0,0
10,1,0.33,3,1024,3,1
16,0,4.9,5,1024,1,0
9,1,12.07,7,1024,2,1
11,0,3.09,6,512,2,0
8,0,2.2,6,512,3,0
9,1,0.47,2,128,0,1
9,0,0.09,9,128,3,0
8,0,4.78,1,128,3,0
8,0,6.53,3,128,0,1
8,0,0.64,1,1024,3,0
9,0,3.16,1,1024,0,0
5,0,1.53,7,1024,2,0
6,0,0.93,9,128,5,0
11,1,2.85,3,512,0,0
11,0,1.27,9,256,3,0
12,0,3.89,9,128,0,0
8,0,0.83,1,256,1,0
11,0,5.69,8,1024,5,0
10,0,2.27,4,512,2,0
15,1,0.79,3,512,2,1
7,0,7.44,1,128,5,1
13,0,0.65,6,128,1,0
13,0,1.72,4,512,6,0
13,1,0.61,4,128,2,1
11,0,3.15,9,128,1,0
12,0,1.29,1,1024,3,0
10,0,0.12,7,512,4,0
12,0,1.59,1,1024,0,0
5,0,2.92,7,256,4,0
16,1,16.06,4,128,2,1
8,0,4.84,4,512,2,0
7,1,3.93,1,128,2,0
10,0,3.47,7,512,0,0
16,0,3.29,2,128,2,0
15,0,3.56,3,128,1,0
12,1,0.1,4,1024,2,0
9,0,9.15,2,128,3,1
17,0,3.56,8,128,0,0
9,0,2.26,4,256,1,0
7,1,13.7,1,256,1,1
9,1,9.38,6,128,1,1
10,1,0.19,7,1024,2,0
11,1,15.12,2,256,0,1
7,1,0.29,4,512,4,1
8,0,3.02,5,256,2,0
9,1,1.85,1,1024,0,0
17,1,6.8,3,512,0,1
11,1,3.85,1,256,3,1
9,0,1.2,7,128,1,0
14,0,4.0,2,1024,3,0
14,0,31.62,7,256,1,0
10,0,6.27,9,128,2,1
9,0,3.58,7,128,0,0
16,0,0.21,6,128,2,0
10,1,4.83,2,1024,3,1
10,1,3.86,1,128,0,1
11,1,5.47,2,128,3,1
13,0,2.5,4,128,0,0
6,0,1.04,8,512,3,0
7,0,6.03,3,128,2,1
8,0,5.34,4,256,1,0
11,0,21.56,6,128,4,1
13,0,7.71,7,1024,1,0
5,1,4.99,3,256,0,0
12,0,25.72,8,128,0,0
3,0,22.75,6,1024,2,0
9,0,1.58,2,1024,4,0
13,0,0.95,7,512,1,0
15,1,1.87,9,512,4,0
9,1,5.06,9,1024,4,1
7,0,8.88,5,1024,2,0
14,0,23.48,7,256,2,0
15,1,0.47,2,256,1,0
9,1,0.31,3,1024,2,0
15,1,1.75,9,1024,2,0
15,0,4.27,9,1024,4,0
8,0,0.64,4,512,1,0
9,0,1.86,9,256,2,0
11,0,2.47,7,128,2,0
7,0,3.1,2,1024,4,0
6,0,1.15,7,128,2,0
13,1,0.56,4,128,2,0
11,1,0.11,9,1024,5,1
12,0,4.73,6,1024,1,0
6,1,6.36,7,128,2,1
12,0,2.18,3,128,1,0
7,1,4.71,2,256,2,0
10,0,6.19,5,256,2,0
9,0,0.07,8,256,2,0
11,0,3.69,1,256,2,0
10,0,1.51,8,256,1,0
11,0,0.72,6,512,4,0
10,0,0.64,9,512,1,0
6,0,8.45,3,128,4,1
9,0,3.46,5,128,6,0
11,0,11.41,7,1024,1,0
13,0,1.11,4,1024,3,0
14,0,1.97,9,1024,2,0
13,1,3.89,4,512,3,1
9,0,2.04,4,256,5,0
9,1,3.59,6,1024,2,0
11,0,1.96,5,512,2,0
12,1,0.19,2,1024,1,0
12,0,2.64,8,1024,3,0
13,0,4.02,5,512,1,0
10,0,9.45,2,1024,2,0
9,1,1.55,6,128,1,1
10,0,1.2,7,256,1,0
12,0,13.82,9,512,3,0
12,0,0.21,7,512,6,0
10,1,2.97,1,1024,0,0
10,0,14.73,6,256,1,0
9,0,2.93,1,1024,2,0
12,0,5.83,4,128,2,0
15,0,0.37,6,512,1,0
14,1,4.57,2,512,2,0
11,0,3.27,7,512,0,0
8,0,5.81,7,1024,5,0
10,0,5.77,5,128,0,0
9,1,6.05,6,512,1,1
10,1,13.46,5,512,4,1
